,price,state,prev_state,latest_uptrend,latest_downtrend,latest_rally,latest_reaction,latest_second_rally,latest_second_reaction,redline_uptrend,redline_reaction,blackline_downtrend,blackline_rally,Date
36,340.8345031738281,uptrend,uptrend,340.8345031738281,317.8894348144531,333.8674621582031,328.0501403808594,,328.69970703125,331.19464111328125,328.0501403808594,317.8894348144531,323.0287780761719,2020-10-09
37,346.3177490234375,uptrend,uptrend,346.3177490234375,317.8894348144531,333.8674621582031,328.0501403808594,,328.69970703125,331.19464111328125,328.0501403808594,317.8894348144531,323.0287780761719,2020-10-12
38,344.0576477050781,reaction,uptrend,346.3177490234375,317.8894348144531,333.8674621582031,344.0576477050781,,328.69970703125,346.3177490234375,328.0501403808594,317.8894348144531,333.8674621582031,2020-10-13
39,341.8957824707031,reaction,reaction,346.3177490234375,317.8894348144531,333.8674621582031,341.8957824707031,,328.69970703125,346.3177490234375,328.0501403808594,317.8894348144531,333.8674621582031,2020-10-14
40,341.4732360839844,reaction,reaction,346.3177490234375,317.8894348144531,333.8674621582031,341.4732360839844,,328.69970703125,346.3177490234375,328.0501403808594,317.8894348144531,333.8674621582031,2020-10-15
41,341.26690673828125,reaction,reaction,346.3177490234375,317.8894348144531,333.8674621582031,341.26690673828125,,328.69970703125,346.3177490234375,328.0501403808594,317.8894348144531,333.8674621582031,2020-10-16
42,336.0784606933594,reaction,reaction,346.3177490234375,317.8894348144531,333.8674621582031,336.0784606933594,,328.69970703125,346.3177490234375,328.0501403808594,317.8894348144531,333.8674621582031,2020-10-19
43,337.4246826171875,reaction,reaction,346.3177490234375,317.8894348144531,333.8674621582031,336.0784606933594,,328.69970703125,346.3177490234375,328.0501403808594,317.8894348144531,333.8674621582031,2020-10-20
44,336.78594970703125,reaction,reaction,346.3177490234375,317.8894348144531,333.8674621582031,336.0784606933594,,328.69970703125,346.3177490234375,328.0501403808594,317.8894348144531,333.8674621582031,2020-10-21
45,338.63336181640625,rally,reaction,346.3177490234375,317.8894348144531,338.63336181640625,336.0784606933594,,328.69970703125,346.3177490234375,336.0784606933594,317.8894348144531,333.8674621582031,2020-10-22
46,339.7830505371094,uptrend,rally,339.7830505371094,317.8894348144531,338.63336181640625,336.0784606933594,,328.69970703125,346.3177490234375,336.0784606933594,317.8894348144531,333.8674621582031,2020-10-23
47,333.50390625,reaction,uptrend,339.7830505371094,317.8894348144531,338.63336181640625,333.50390625,,328.69970703125,339.7830505371094,336.0784606933594,317.8894348144531,338.63336181640625,2020-10-26
48,332.3541564941406,downtrend,reaction,339.7830505371094,332.3541564941406,338.63336181640625,333.50390625,,328.69970703125,339.7830505371094,336.0784606933594,317.8894348144531,338.63336181640625,2020-10-27
49,320.99468994140625,downtrend,downtrend,339.7830505371094,320.99468994140625,338.63336181640625,333.50390625,,328.69970703125,339.7830505371094,336.0784606933594,317.8894348144531,338.63336181640625,2020-10-28
50,324.2571105957031,rally,downtrend,339.7830505371094,320.99468994140625,324.2571105957031,333.50390625,,328.69970703125,339.7830505371094,333.50390625,320.99468994140625,338.63336181640625,2020-10-29
51,320.87677001953125,reaction,rally,339.7830505371094,320.99468994140625,324.2571105957031,320.87677001953125,,328.69970703125,339.7830505371094,333.50390625,320.99468994140625,324.2571105957031,2020-10-30
52,324.4732971191406,downtrend,reaction,339.7830505371094,324.4732971191406,324.2571105957031,320.87677001953125,,328.69970703125,339.7830505371094,333.50390625,320.99468994140625,324.2571105957031,2020-11-02
53,330.2021789550781,rally,downtrend,339.7830505371094,324.4732971191406,330.2021789550781,320.87677001953125,,328.69970703125,339.7830505371094,320.87677001953125,324.4732971191406,324.2571105957031,2020-11-03
54,337.5819091796875,uptrend,rally,337.5819091796875,324.4732971191406,330.2021789550781,320.87677001953125,,328.69970703125,339.7830505371094,320.87677001953125,324.4732971191406,324.2571105957031,2020-11-04
55,344.1656799316406,uptrend,uptrend,344.1656799316406,324.4732971191406,330.2021789550781,320.87677001953125,,328.69970703125,339.7830505371094,320.87677001953125,324.4732971191406,324.2571105957031,2020-11-05
56,344.08709716796875,uptrend,uptrend,344.1656799316406,324.4732971191406,330.2021789550781,320.87677001953125,,328.69970703125,339.7830505371094,320.87677001953125,324.4732971191406,324.2571105957031,2020-11-06
57,348.4107971191406,uptrend,uptrend,348.4107971191406,324.4732971191406,330.2021789550781,320.87677001953125,,328.69970703125,339.7830505371094,320.87677001953125,324.4732971191406,324.2571105957031,2020-11-09
58,347.8998107910156,uptrend,uptrend,348.4107971191406,324.4732971191406,330.2021789550781,320.87677001953125,,328.69970703125,339.7830505371094,320.87677001953125,324.4732971191406,324.2571105957031,2020-11-10
59,350.4842224121094,uptrend,uptrend,350.4842224121094,324.4732971191406,330.2021789550781,320.87677001953125,,328.69970703125,339.7830505371094,320.87677001953125,324.4732971191406,324.2571105957031,2020-11-11
60,347.08416748046875,reaction,uptrend,350.4842224121094,324.4732971191406,330.2021789550781,347.08416748046875,,328.69970703125,350.4842224121094,320.87677001953125,324.4732971191406,330.2021789550781,2020-11-12
61,351.8893737792969,rally,reaction,350.4842224121094,324.4732971191406,351.8893737792969,347.08416748046875,,328.69970703125,350.4842224121094,347.08416748046875,324.4732971191406,330.2021789550781,2020-11-13
62,356.2818908691406,uptrend,rally,356.2818908691406,324.4732971191406,351.8893737792969,347.08416748046875,,328.69970703125,350.4842224121094,347.08416748046875,324.4732971191406,330.2021789550781,2020-11-16
63,354.3656921386719,uptrend,uptrend,356.2818908691406,324.4732971191406,351.8893737792969,347.08416748046875,,328.69970703125,350.4842224121094,347.08416748046875,324.4732971191406,330.2021789550781,2020-11-17
